0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,年,月,日,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位
  1, -1, -2, -1,  1,  3,  6,  8, 11, 13, 14, 16, 17, 18, 19, 19, 20, 20, 19, 18, 17, 14, 11,  8,23, 4,27,1637, 20,"","","","","","", 2 5, -2,"","","","","",""
  5,  3,  1,  0,  1,  2,  4,  6,  8, 11, 13, 14, 16, 17, 17, 18, 18, 18, 18, 17, 17, 15, 13, 11,23, 4,28,1631, 18,"","","","","","", 3 8,  0,"","","","","",""
  8,  6,  4,  2,  1,  1,  2,  4,  6,  9, 11, 13, 14, 15, 16, 16, 16, 16, 15, 15, 15, 15, 14, 12,23, 4,29,1451, 16,"","","","","","", 423,  1,"","","","","",""
 11,  9,  6,  4,  3,  2,  2,  3,  5,  7,  9, 11, 13, 14, 14, 14, 13, 13, 12, 12, 12, 13, 13, 13,23, 4,30,1354, 14,2213, 13,"","","","", 529,  2,1856, 12,"","","",""
 12, 11,  9,  7,  4,  3,  2,  2,  4,  6,  8, 11, 12, 13, 13, 12, 11, 10,  9,  8,  9, 10, 11, 12,23, 5, 1,1332, 13,2359, 12,"","","","", 619,  2,1912,  8,"","","",""
 12, 12, 11,  9,  7,  5,  3,  3,  3,  5,  8, 10, 12, 13, 13, 12, 10,  8,  6,  5,  5,  6,  8, 10,23, 5, 2,1322, 13,"","","","","","", 658,  3,1940,  5,"","","",""
 12, 13, 12, 11,  9,  7,  5,  4,  4,  5,  8, 11, 13, 14, 14, 12, 10,  7,  4,  2,  1,  2,  4,  7,23, 5, 3, 116, 13,1320, 14,"","","","", 731,  4,2010,  1,"","","",""
 10, 13, 14, 13, 12, 10,  8,  6,  6,  7,  9, 11, 14, 16, 15, 14, 11,  8,  4,  1, -1, -1,  0,  4,23, 5, 4, 221, 14,1327, 16,"","","","", 8 0,  6,2043, -2,"","","",""
  8, 11, 14, 15, 15, 13, 11,  9,  9,  9, 10, 13, 16, 18, 18, 17, 14, 10,  5,  1, -2, -4, -3, -1,23, 5, 5, 319, 15,1342, 18,"","","","", 826,  8,2118, -4,"","","",""
  4,  9, 13, 16, 17, 16, 15, 13, 12, 11, 12, 14, 17, 20, 21, 20, 18, 14,  8,  3, -2, -5, -6, -4,23, 5, 6, 413, 17,14 5, 21,"","","","", 849, 11,2156, -6,"","","",""
  0,  5, 11, 15, 17, 18, 18, 16, 15, 14, 15, 16, 18, 21, 23, 24, 22, 18, 13,  6,  1, -4, -6, -6,23, 5, 7, 5 6, 18,1433, 24,"","","","", 9 6, 14,2238, -6,"","","",""
 -4,  1,  7, 12, 16, 19, 19, 19, 18, 17, 17, 18, 20, 22, 25, 26, 25, 23, 18, 12,  5,  0, -4, -6,23, 5, 8, 6 1, 19,15 6, 26,"","","","", 915, 17,2324, -6,"","","",""
 -6, -3,  2,  8, 13, 17, 19, 20, 19, 19, 19, 20, 21, 23, 25, 27, 28, 26, 23, 18, 11,  5,  0, -4,23, 5, 9, 7 3, 20,1543, 28,"","","","", 916, 19,"","","","","",""
 -5, -5, -2,  3,  8, 13, 16, 19, 20, 20, 20, 21, 21, 23, 24, 26, 28, 28, 26, 22, 17, 11,  5,  1,23, 5,10,1626, 28,"","","","","","", 016, -5,"","","","","",""
 -2, -4, -3,  0,  4,  8, 12, 16, 18, 19, 20, 20, 21, 22, 23, 24, 26, 27, 26, 25, 21, 17, 11,  7,23, 5,11,1717, 27,"","","","","","", 113, -4,"","","","","",""
  3,  0, -2, -2,  1,  4,  8, 12, 15, 17, 18, 19, 20, 20, 21, 21, 23, 24, 24, 24, 23, 20, 17, 12,23, 5,12,1826, 25,"","","","","","", 219, -2,"","","","","",""
  8,  4,  2,  0,  0,  1,  4,  8, 11, 14, 16, 18, 18, 19, 18, 18, 19, 19, 20, 21, 22, 21, 19, 17,23, 5,13,20 1, 22,"","","","","","", 331,  0,"","","","","",""
 13, 10,  6,  4,  2,  2,  3,  5,  9, 12, 15, 17, 17, 17, 16, 16, 15, 14, 15, 16, 18, 19, 19, 19,23, 5,14,1220, 17,2155, 19,"","","","", 443,  2,1658, 14,"","","",""
 17, 14, 11,  8,  6,  4,  4,  5,  7, 11, 14, 16, 17, 17, 16, 14, 12, 11, 10, 10, 12, 14, 16, 18,23, 5,15,1219, 17,2340, 18,"","","","", 544,  4,18 9, 10,"","","",""
 18, 17, 15, 13, 10,  8,  6,  6,  8, 10, 14, 16, 18, 18, 16, 14, 11,  8,  6,  5,  6,  8, 12, 15,23, 5,16,1229, 18,"","","","","","", 634,  6,19 5,  5,"","","",""
 17, 18, 18, 16, 14, 12, 10,  9, 10, 11, 14, 17, 19, 20, 19, 16, 12,  8,  5,  2,  2,  3,  6, 10,23, 5,17, 111, 18,1245, 20,"","","","", 715,  9,1954,  2,"","","",""
 14, 17, 18, 18, 17, 16, 14, 13, 13, 13, 16, 19, 21, 22, 22, 19, 15, 10,  6,  2,  0, -1,  1,  5,23, 5,18, 230, 19,13 6, 22,"","","","", 747, 13,2039, -1,"","","",""
 10, 15, 18, 19, 20, 19, 17, 16, 16, 16, 17, 20, 23, 24, 24, 23, 19, 14,  9,  4,  0, -2, -2,  1,23, 5,19, 339, 20,1331, 25,"","","","", 812, 16,2122, -2,"","","",""
  6, 11, 16, 19, 21, 21, 20, 19, 19, 19, 19, 21, 24, 26, 27, 26, 23, 19, 13,  7,  2, -1, -2, -1,23, 5,20, 440, 21,1359, 27,"","","","", 824, 19,22 3, -2,"","","",""
  3,  8, 13, 17, 20, 22, 22, 21, 21, 21, 21, 23, 25, 27, 28, 28, 26, 23, 18, 12,  6,  2, -1, -1,23, 5,21, 537, 22,1428, 28,"","","","", 821, 21,2243, -1,"","","",""
  1,  5, 10, 15, 18, 21, 22, 23, 22, 22, 23, 24, 25, 27, 29, 29, 28, 26, 22, 16, 11,  6,  2,  0,23, 5,22,1458, 29,"","","","","","",2323,  0,"","","","","",""
  0,  3,  7, 12, 16, 19, 22, 23, 23, 23, 24, 24, 25, 27, 28, 29, 29, 28, 25, 20, 15, 10,  6,  3,23, 5,23,1527, 30,"","","","","","","","","","","","","",""
  2,  2,  5,  9, 13, 17, 20, 22, 22, 23, 23, 24, 25, 26, 27, 29, 29, 28, 26, 23, 19, 14,  9,  6,23, 5,24,1557, 29,"","","","","","", 0 5,  2,"","","","","",""
  4,  3,  5,  7, 11, 14, 17, 20, 21, 22, 23, 23, 24, 25, 26, 27, 27, 27, 26, 24, 21, 17, 13,  9,23, 5,25,1628, 28,"","","","","","", 048,  3,"","","","","",""
  7,  5,  5,  6,  9, 12, 15, 17, 19, 20, 21, 22, 23, 23, 24, 25, 25, 25, 25, 24, 22, 19, 16, 12,23, 5,26,17 1, 25,"","","","","","", 134,  5,"","","","","",""
 10,  7,  6,  7,  8, 10, 12, 15, 17, 19, 20, 21, 21, 22, 22, 22, 22, 23, 23, 22, 21, 20, 17, 15,23, 5,27,1745, 23,"","","","","","", 223,  6,"","","","","",""
 12, 10,  9,  8,  8,  9, 11, 14, 16, 18, 19, 20, 20, 20, 20, 20, 20, 19, 20, 20, 20, 19, 18, 17,23, 5,28,1231, 20,"","","","","","", 313,  8,"","","","","",""
 15, 13, 11, 10, 10, 10, 11, 13, 15, 17, 19, 20, 20, 20, 19, 18, 17, 16, 16, 17, 17, 18, 18, 17,23, 5,29,1151, 20,2151, 18,"","","","", 4 1, 10,1751, 16,"","","",""
 17, 15, 14, 13, 12, 12, 12, 14, 16, 18, 20, 21, 21, 20, 19, 17, 15, 14, 13, 13, 14, 15, 17, 18,23, 5,30,1138, 21,2358, 18,"","","","", 444, 12,1829, 13,"","","",""
 18, 18, 17, 16, 15, 14, 14, 15, 17, 19, 21, 22, 22, 21, 20, 17, 15, 12, 11, 10, 11, 12, 15, 17,23, 5,31,1137, 22,"","","","","","", 522, 14,19 3, 10,"","","",""
 19, 20, 20, 19, 18, 17, 17, 17, 19, 21, 23, 25, 25, 24, 22, 19, 15, 12,  9,  8,  7,  9, 12, 15,23, 6, 1, 132, 20,1149, 25,"","","","", 556, 17,1938,  7,"","","",""
 18, 21, 22, 22, 22, 21, 20, 20, 21, 23, 25, 27, 28, 28, 25, 22, 18, 13,  9,  6,  5,  5,  8, 12,23, 6, 2, 243, 22,1211, 28,"","","","", 628, 20,2015,  5,"","","",""
 17, 20, 23, 25, 25, 24, 23, 23, 23, 24, 26, 29, 31, 31, 30, 26, 22, 17, 11,  7,  4,  3,  4,  8,23, 6, 3, 341, 25,1241, 31,"","","","", 659, 23,2056,  3,"","","",""
 13, 18, 23, 25, 27, 27, 26, 26, 26, 26, 28, 30, 33, 34, 34, 31, 27, 22, 15,  9,  5,  2,  2,  4,23, 6, 4, 433, 27,1318, 34,"","","","", 729, 26,2140,  1,"","","",""
  9, 14, 20, 24, 27, 28, 28, 28, 27, 28, 29, 30, 33, 35, 36, 35, 32, 27, 21, 14,  8,  3,  1,  1,23, 6, 5, 524, 28,14 1, 36,"","","","", 757, 27,2229,  1,"","","",""
  4,  9, 15, 21, 25, 28, 29, 29, 28, 28, 29, 30, 32, 35, 37, 38, 36, 33, 27, 20, 13,  7,  3,  1,23, 6, 6,1449, 38,"","","","","","",2321,  1,"","","","","",""
  1,  5, 10, 16, 21, 25, 27, 28, 28, 28, 28, 29, 31, 33, 35, 37, 38, 36, 32, 26, 20, 13,  7,  3,23, 6, 7,1540, 38,"","","","","","","","","","","","","",""
  2,  2,  5, 10, 16, 21, 24, 26, 27, 27, 27, 28, 28, 30, 32, 34, 36, 36, 34, 31, 25, 19, 13,  8,23, 6, 8,1636, 36,"","","","","","", 016,  1,"","","","","",""
  5,  3,  4,  7, 11, 16, 20, 23, 25, 26, 26, 26, 26, 27, 28, 30, 32, 33, 34, 32, 29, 24, 19, 14,23, 6, 9,1738, 34,"","","","","","", 113,  3,"","","","","",""
 10,  7,  5,  6,  9, 13, 17, 20, 23, 24, 25, 24, 24, 24, 24, 25, 26, 28, 30, 30, 29, 27, 23, 19,23, 6,10, 957, 25,1851, 30,"","","","", 2 9,  5,1330, 24,"","","",""
 15, 12,  9,  8,  9, 11, 15, 18, 21, 23, 24, 24, 23, 22, 21, 21, 21, 22, 24, 26, 26, 26, 25, 23,23, 6,11,1015, 24,2024, 27,"","","","", 3 4,  8,1514, 21,"","","",""
 20, 17, 14, 12, 12, 13, 15, 18, 21, 23, 25, 25, 24, 22, 20, 18, 17, 17, 18, 20, 22, 23, 24, 24,23, 6,12,1034, 25,2217, 24,"","","","", 356, 12,1641, 17,"","","",""
 23, 21, 19, 17, 16, 16, 17, 19, 22, 24, 26, 27, 26, 24, 21, 18, 16, 14, 13, 14, 16, 19, 21, 23,23, 6,13,1054, 27,"","","","","","", 443, 16,1754, 13,"","","",""
 24, 23, 23, 22, 21, 20, 20, 21, 23, 26, 28, 29, 29, 27, 24, 20, 16, 13, 11, 11, 12, 14, 17, 21,23, 6,14, 014, 24,1116, 29,"","","","", 521, 20,1854, 11,"","","",""
 23, 24, 25, 25, 24, 24, 24, 24, 26, 27, 30, 31, 32, 30, 27, 24, 19, 15, 12,  9,  9, 10, 14, 17,23, 6,15, 211, 25,1142, 32,"","","","", 547, 24,1944,  9,"","","",""
 21, 24, 26, 27, 27, 27, 27, 27, 28, 29, 31, 33, 34, 34, 31, 28, 23, 18, 14, 10,  8,  8, 11, 14,23, 6,16,1211, 34,"","","","","","",2028,  8,"","","","","",""
 19, 23, 26, 28, 29, 29, 29, 30, 30, 31, 32, 34, 36, 36, 35, 32, 28, 23, 17, 13, 10,  8,  9, 12,23, 6,17,1245, 36,"","","","","","",21 9,  8,"","","","","",""
 16, 21, 25, 28, 30, 31, 31, 31, 31, 32, 33, 35, 36, 38, 37, 35, 32, 27, 22, 16, 12,  9,  9, 10,23, 6,18,1322, 38,"","","","","","",2149,  9,"","","","","",""
 14, 18, 23, 27, 30, 31, 32, 32, 32, 32, 33, 35, 36, 38, 38, 38, 35, 31, 26, 20, 15, 11,  9,  9,23, 6,19,14 1, 38,"","","","","","",2229,  9,"","","","","",""
 12, 16, 20, 25, 28, 30, 31, 31, 32, 32, 33, 34, 35, 37, 38, 38, 37, 34, 30, 24, 18, 14, 11,  9,23, 6,20,1441, 39,"","","","","","",23 9,  9,"","","","","",""
 10, 13, 17, 22, 26, 28, 30, 31, 31, 31, 31, 32, 33, 35, 37, 38, 37, 36, 32, 27, 22, 17, 13, 11,23, 6,21,1520, 38,"","","","","","",2349, 10,"","","","","",""
 10, 11, 14, 19, 23, 26, 28, 29, 29, 30, 30, 31, 31, 33, 34, 36, 36, 35, 33, 29, 25, 20, 16, 12,23, 6,22,1558, 36,"","","","","","","","","","","","","",""
 11, 11, 13, 16, 20, 23, 26, 27, 28, 28, 28, 29, 29, 30, 31, 33, 34, 34, 33, 30, 27, 22, 18, 15,23, 6,23,1636, 34,"","","","","","", 028, 11,"","","","","",""
 13, 12, 12, 14, 18, 21, 24, 25, 27, 27, 27, 27, 27, 28, 28, 29, 31, 31, 31, 30, 27, 24, 21, 17,23, 6,24,1716, 31,"","","","","","", 1 6, 12,"","","","","",""
 15, 14, 13, 15, 17, 20, 22, 24, 26, 26, 26, 26, 26, 26, 26, 26, 27, 28, 28, 28, 27, 25, 23, 20,23, 6,25, 931, 26,18 5, 28,"","","","", 141, 13,1324, 26,"","","",""
 18, 16, 16, 16, 18, 20, 22, 24, 26, 27, 27, 26, 25, 25, 24, 24, 24, 25, 25, 26, 26, 25, 24, 22,23, 6,26, 933, 27,1927, 26,"","","","", 211, 16,1514, 24,"","","",""
 21, 19, 19, 19, 20, 21, 23, 25, 27, 28, 28, 27, 26, 25, 23, 22, 22, 21, 22, 23, 24, 25, 25, 24,23, 6,27, 937, 28,2147, 25,"","","","", 234, 19,1634, 21,"","","",""
 24, 23, 22, 22, 22, 24, 25, 27, 29, 30, 30, 30, 28, 26, 24, 22, 20, 19, 19, 20, 21, 23, 25, 26,23, 6,28, 945, 30,"","","","","","", 249, 22,1733, 19,"","","",""
 26, 26, 26, 26, 26, 27, 28, 29, 31, 33, 34, 33, 31, 29, 26, 23, 20, 18, 17, 17, 18, 21, 24, 26,23, 6,29,10 4, 34,"","","","","","",1821, 17,"","","","","",""
 28, 29, 29, 29, 30, 30, 31, 32, 34, 35, 37, 37, 35, 33, 29, 25, 21, 18, 16, 15, 15, 18, 21, 25,23, 6,30,1033, 37,"","","","","","",19 6, 15,"","","","","",""
 28, 30, 32, 32, 33, 33, 33, 34, 36, 37, 39, 40, 40, 38, 34, 29, 24, 20, 16, 13, 13, 14, 17, 22,23, 7, 1,1113, 40,"","","","","","",1952, 12,"","","","","",""
 26, 30, 33, 34, 35, 35, 35, 36, 37, 38, 40, 42, 43, 42, 39, 35, 29, 24, 18, 14, 11, 11, 13, 17,23, 7, 2,12 1, 43,"","","","","","",2041, 11,"","","","","",""
 22, 27, 32, 34, 36, 36, 36, 37, 37, 38, 40, 42, 44, 45, 44, 41, 36, 29, 23, 16, 12,  9,  9, 12,23, 7, 3,1255, 45,"","","","","","",2133,  9,"","","","","",""
 17, 22, 28, 32, 35, 36, 36, 36, 36, 37, 38, 41, 43, 46, 46, 45, 41, 36, 29, 21, 15, 10,  8,  8,23, 7, 4,1353, 46,"","","","","","",2226,  8,"","","","","",""
 11, 17, 23, 28, 32, 35, 35, 35, 35, 35, 36, 38, 40, 43, 46, 46, 45, 41, 35, 28, 20, 14, 10,  7,23, 7, 5,1451, 46,"","","","","","",2320,  7,"","","","","",""
  8, 11, 17, 23, 28, 31, 33, 34, 33, 33, 33, 34, 35, 38, 42, 44, 45, 43, 39, 33, 26, 19, 14, 10,23, 7, 6, 647, 34,1548, 45,"","","","", 911, 33,"","","","","",""
  8,  9, 13, 18, 24, 28, 31, 32, 32, 31, 30, 30, 31, 33, 35, 39, 42, 42, 41, 37, 32, 25, 19, 14,23, 7, 7, 719, 32,1648, 42,"","","","", 011,  8,1030, 30,"","","",""
 11, 10, 11, 15, 20, 25, 28, 30, 31, 30, 29, 28, 28, 28, 29, 32, 35, 38, 38, 37, 34, 30, 25, 20,23, 7, 8, 750, 31,1752, 38,"","","","", 1 0, 10,1215, 27,"","","",""
 16, 14, 13, 15, 19, 23, 27, 29, 31, 30, 29, 27, 26, 25, 25, 26, 28, 31, 33, 34, 34, 32, 28, 25,23, 7, 9, 819, 31,19 9, 34,"","","","", 144, 13,1341, 25,"","","",""
 22, 19, 18, 18, 20, 23, 27, 29, 31, 32, 31, 29, 26, 24, 23, 22, 23, 25, 27, 29, 30, 31, 30, 28,23, 7,10, 847, 32,2046, 31,"","","","", 224, 18,1459, 22,"","","",""
 26, 24, 23, 23, 23, 25, 28, 30, 32, 33, 33, 31, 29, 26, 23, 21, 20, 20, 21, 24, 26, 28, 29, 29,23, 7,11, 914, 34,2253, 29,"","","","", 257, 23,1620, 20,"","","",""
 29, 28, 28, 27, 28, 29, 30, 32, 34, 36, 36, 35, 32, 29, 26, 23, 20, 18, 18, 19, 21, 24, 27, 29,23, 7,12, 942, 36,"","","","","","", 313, 27,1737, 18,"","","",""
 30, 31, 31, 31, 32, 32, 33, 35, 36, 38, 39, 38, 36, 33, 30, 26, 22, 19, 18, 17, 18, 21, 24, 27,23, 7,13,1013, 39,"","","","","","",1842, 17,"","","","","",""
 30, 32, 33, 34, 35, 35, 36, 37, 38, 39, 41, 41, 40, 38, 34, 30, 26, 22, 19, 17, 17, 19, 22, 25,23, 7,14,1049, 41,"","","","","","",1935, 17,"","","","","",""
 29, 32, 34, 36, 37, 37, 38, 38, 39, 40, 42, 43, 43, 41, 39, 35, 30, 26, 22, 19, 17, 18, 20, 23,23, 7,15,1131, 43,"","","","","","",2019, 17,"","","","","",""
 27, 31, 34, 36, 37, 38, 39, 39, 40, 41, 42, 43, 44, 44, 42, 39, 35, 30, 25, 21, 18, 17, 18, 21,23, 7,16,1219, 44,"","","","","","",21 0, 17,"","","","","",""
 25, 29, 33, 35, 37, 38, 38, 39, 39, 40, 41, 42, 44, 45, 44, 42, 38, 34, 28, 23, 20, 17, 17, 19,23, 7,17,13 8, 45,"","","","","","",2140, 17,"","","","","",""
 22, 27, 31, 34, 36, 37, 37, 37, 38, 38, 39, 41, 43, 44, 45, 44, 41, 37, 32, 26, 21, 18, 17, 17,23, 7,18,1354, 45,"","","","","","",2218, 16,"","","","","",""
 19, 23, 28, 32, 34, 36, 36, 36, 36, 36, 37, 38, 40, 42, 44, 44, 42, 39, 34, 29, 23, 19, 17, 16,23, 7,19,1437, 44,"","","","","","",2255, 16,"","","","","",""
 17, 20, 24, 29, 32, 34, 35, 34, 34, 34, 34, 35, 37, 39, 41, 42, 42, 40, 36, 31, 26, 21, 18, 16,23, 7,20, 619, 35,1517, 42,"","","","", 840, 34,2331, 16,"","","",""
 16, 18, 21, 26, 29, 31, 33, 33, 32, 32, 32, 32, 33, 35, 38, 40, 40, 39, 37, 33, 28, 23, 19, 17,23, 7,21, 640, 33,1556, 40,"","","","", 927, 32,"","","","","",""
 16, 17, 20, 23, 27, 30, 31, 32, 31, 31, 30, 30, 31, 32, 34, 36, 37, 37, 36, 33, 30, 25, 22, 19,23, 7,22, 7 1, 32,1635, 38,"","","","", 0 3, 16,1024, 30,"","","",""
 18, 17, 19, 22, 26, 29, 30, 31, 31, 30, 29, 29, 28, 29, 30, 32, 34, 35, 35, 33, 31, 28, 24, 22,23, 7,23, 719, 31,1717, 35,"","","","", 032, 17,1146, 28,"","","",""
 20, 20, 21, 23, 26, 29, 31, 32, 32, 31, 29, 28, 27, 27, 27, 28, 30, 32, 32, 32, 31, 29, 27, 25,23, 7,24, 732, 32,1814, 32,"","","","", 055, 20,1310, 27,"","","",""
 24, 23, 23, 25, 27, 30, 32, 33, 33, 32, 31, 29, 27, 26, 26, 26, 27, 29, 30, 31, 31, 30, 29, 28,23, 7,25, 741, 33,1948, 31,"","","","", 1 9, 23,1420, 26,"","","",""
 27, 27, 27, 28, 30, 32, 34, 35, 36, 35, 34, 31, 29, 27, 25, 25, 25, 26, 27, 29, 30, 31, 31, 31,23, 7,26, 752, 36,"","","","","","", 1 4, 27,1527, 25,"","","",""
 31, 31, 31, 32, 33, 35, 37, 38, 39, 39, 37, 35, 32, 29, 26, 25, 23, 23, 24, 26, 28, 30, 32, 33,23, 7,27, 813, 39,"","","","","","",1636, 23,"","","","","",""
 34, 34, 35, 35, 36, 38, 39, 41, 42, 42, 41, 39, 36, 33, 29, 26, 23, 22, 22, 23, 25, 28, 31, 33,23, 7,28, 847, 42,"","","","","","",1742, 22,"","","","","",""
 35, 37, 37, 38, 39, 40, 41, 42, 44, 45, 45, 44, 41, 37, 33, 29, 25, 22, 20, 20, 21, 24, 28, 32,23, 7,29, 934, 45,"","","","","","",1842, 20,"","","","","",""
 35, 37, 39, 40, 41, 41, 42, 43, 45, 46, 47, 47, 46, 43, 39, 34, 29, 24, 20, 18, 18, 20, 23, 28,23, 7,30,1035, 47,"","","","","","",1939, 18,"","","","","",""
 32, 36, 39, 40, 41, 42, 42, 43, 44, 45, 47, 49, 49, 48, 44, 40, 34, 28, 23, 18, 16, 16, 18, 22,23, 7,31,1145, 49,"","","","","","",2035, 15,"","","","","",""
 27, 32, 36, 39, 40, 41, 41, 41, 42, 43, 45, 47, 50, 50, 49, 45, 40, 34, 27, 21, 16, 14, 14, 17,23, 8, 1,1253, 50,"","","","","","",2129, 13,"","","","","",""
 21, 27, 32, 36, 38, 39, 39, 38, 38, 39, 41, 43, 47, 50, 51, 49, 45, 40, 33, 25, 19, 14, 12, 13,23, 8, 2, 510, 39,1357, 51,"","","","", 726, 38,2221, 12,"","","",""
 16, 22, 28, 32, 35, 37, 37, 36, 35, 35, 36, 38, 41, 45, 48, 50, 48, 44, 38, 31, 24, 18, 14, 12,23, 8, 3, 527, 37,1456, 50,"","","","", 832, 35,23 9, 12,"","","",""
 13, 17, 23, 29, 33, 35, 35, 34, 33, 31, 31, 32, 34, 38, 42, 46, 47, 46, 42, 36, 29, 23, 18, 14,23, 8, 4, 549, 35,1556, 47,"","","","", 943, 31,2353, 13,"","","",""
 13, 15, 20, 26, 30, 33, 34, 34, 32, 30, 28, 28, 28, 30, 35, 39, 42, 43, 42, 39, 34, 28, 23, 19,23, 8, 5, 613, 35,1658, 43,"","","","",11 5, 28,"","","","","",""
 17, 17, 20, 24, 29, 32, 34, 34, 33, 30, 27, 26, 25, 25, 27, 31, 35, 38, 39, 38, 36, 32, 28, 24,23, 8, 6, 639, 35,18 7, 39,"","","","", 032, 17,1220, 25,"","","",""
 22, 21, 22, 25, 29, 32, 35, 36, 35, 32, 29, 26, 24, 23, 23, 25, 28, 32, 34, 35, 35, 34, 31, 29,23, 8, 7, 7 5, 36,1928, 35,"","","","", 1 7, 21,1327, 22,"","","",""
 27, 26, 26, 28, 31, 34, 36, 37, 37, 36, 33, 29, 26, 24, 22, 22, 23, 26, 28, 31, 32, 33, 33, 32,23, 8, 8, 731, 38,2111, 33,"","","","", 134, 26,1436, 22,"","","",""
 32, 31, 31, 32, 34, 36, 38, 39, 40, 39, 37, 34, 30, 27, 24, 22, 22, 22, 24, 26, 29, 31, 32, 33,23, 8, 9, 759, 40,"","","","","","", 135, 31,1553, 22,"","","",""
 34, 35, 35, 36, 37, 38, 40, 41, 42, 42, 41, 38, 35, 32, 28, 25, 23, 22, 22, 23, 26, 28, 31, 33,23, 8,10, 831, 42,"","","","","","",1718, 22,"","","","","",""
 35, 37, 38, 39, 40, 41, 41, 42, 43, 44, 43, 42, 40, 36, 33, 29, 26, 24, 22, 22, 24, 26, 29, 32,23, 8,11, 911, 44,"","","","","","",1830, 22,"","","","","",""
 35, 37, 39, 40, 41, 42, 43, 43, 44, 44, 45, 45, 43, 41, 37, 34, 30, 27, 24, 23, 23, 24, 27, 31,23, 8,12,10 7, 45,"","","","","","",1925, 22,"","","","","",""
 34, 37, 39, 41, 42, 42, 43, 43, 44, 44, 45, 46, 45, 44, 41, 38, 34, 30, 26, 24, 22, 23, 25, 28,23, 8,13,1112, 46,"","","","","","",2010, 22,"","","","","",""
 32, 36, 38, 40, 41, 41, 41, 42, 42, 43, 44, 45, 46, 46, 44, 41, 37, 33, 28, 25, 22, 22, 23, 26,23, 8,14,1213, 46,"","","","","","",2050, 22,"","","","","",""
 30, 33, 36, 38, 40, 40, 40, 40, 40, 41, 42, 44, 45, 46, 46, 43, 40, 35, 30, 26, 23, 21, 21, 23,23, 8,15,13 6, 46,"","","","","","",2127, 21,"","","","","",""
 27, 31, 34, 37, 38, 38, 38, 37, 37, 38, 39, 41, 43, 45, 46, 44, 42, 38, 32, 27, 23, 21, 20, 21,23, 8,16, 449, 38,1351, 46,"","","","", 727, 37,22 1, 20,"","","",""
 24, 28, 31, 34, 36, 36, 36, 35, 34, 35, 35, 37, 39, 42, 44, 44, 42, 39, 34, 29, 24, 21, 19, 19,23, 8,17, 457, 36,1434, 44,"","","","", 814, 34,2233, 19,"","","",""
 21, 25, 29, 32, 34, 35, 34, 33, 32, 32, 32, 33, 35, 38, 41, 42, 42, 40, 36, 31, 26, 22, 20, 19,23, 8,18, 511, 35,1514, 42,"","","","", 9 1, 32,23 2, 19,"","","",""
 20, 23, 27, 30, 33, 34, 34, 32, 31, 29, 29, 30, 31, 34, 37, 39, 40, 39, 37, 33, 28, 24, 21, 20,23, 8,19, 526, 34,1555, 40,"","","","", 953, 29,2328, 20,"","","",""
 20, 22, 26, 29, 32, 33, 33, 32, 30, 29, 27, 27, 28, 30, 33, 36, 37, 38, 37, 34, 30, 27, 24, 22,23, 8,20, 539, 33,1638, 38,"","","","",1050, 27,2350, 22,"","","",""
 22, 23, 26, 29, 32, 34, 34, 33, 31, 29, 27, 26, 26, 27, 29, 32, 34, 36, 36, 35, 32, 30, 27, 26,23, 8,21, 548, 34,1731, 36,"","","","",1146, 26,"","","","","",""
 25, 26, 28, 31, 34, 35, 36, 35, 33, 31, 28, 26, 25, 25, 26, 28, 31, 33, 34, 35, 34, 32, 30, 29,23, 8,22, 555, 36,1843, 35,"","","","", 0 3, 25,1241, 25,2355, 29,"",""
 29, 29, 31, 33, 36, 37, 38, 38, 36, 34, 30, 28, 26, 25, 25, 26, 28, 31, 32, 34, 34, 34, 33, 33,23, 8,23, 6 5, 38,2017, 34,"","","","",1336, 25,2328, 33,"","","",""
 33, 33, 34, 36, 38, 40, 41, 41, 40, 37, 34, 31, 28, 26, 25, 25, 26, 28, 30, 32, 34, 35, 35, 36,23, 8,24, 624, 41,"","","","","","",1438, 25,"","","","","",""
 36, 37, 38, 39, 40, 42, 43, 44, 43, 41, 39, 35, 32, 29, 26, 25, 24, 25, 27, 29, 31, 34, 36, 37,23, 8,25, 654, 44,"","","","","","",1552, 24,"","","","","",""
 38, 39, 40, 41, 42, 44, 45, 46, 46, 45, 43, 40, 36, 33, 29, 26, 24, 23, 24, 25, 28, 31, 34, 37,23, 8,26, 741, 46,"","","","","","",1715, 23,"","","","","",""
 39, 40, 41, 42, 43, 44, 45, 46, 47, 47, 47, 45, 42, 38, 34, 30, 26, 23, 22, 22, 23, 26, 30, 34,23, 8,27, 854, 47,"","","","","","",1829, 22,"","","","","",""
 37, 40, 41, 42, 43, 43, 44, 45, 46, 47, 48, 48, 47, 43, 39, 34, 30, 25, 21, 19, 19, 21, 25, 29,23, 8,28,1027, 48,"","","","","","",1933, 19,"","","","","",""
 34, 37, 40, 41, 41, 41, 42, 42, 43, 45, 47, 49, 49, 48, 45, 40, 35, 29, 23, 19, 17, 17, 20, 24,23, 8,29,1150, 49,"","","","","","",2029, 17,"","","","","",""
